sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
嘉義,嘉義市,22,,良好,1,0.12,15.9,14.2,22,4,3.8,4.8,1,2.1,252,2024-06-13 07:00,,0.1,5.2,22,0,120.44125148,23.46477865,42
臺西,雲林縣,19,,良好,0.4,0.12,20.4,16.4,8,5,2.3,3.6,1.2,2.5,173,2024-06-13 07:00,,0.1,5.6,19,0,120.19933333,23.702175,41
朴子,嘉義縣,26,,良好,0.8,0.13,17.1,10.8,11,8,4.7,6.6,1.9,1.5,141,2024-06-13 07:00,,0.1,8,25,0,120.2478,23.46538,40
新港,嘉義縣,26,,良好,0.8,0.11,24,18.5,16,6,3,4.8,1.8,2.3,198,2024-06-13 07:00,,0,8,22,1,120.345531,23.554839,39
崙背,雲林縣,24,,良好,0.7,0.09,19.3,16.2,16,7,1.8,3.1,1.3,0.9,230,2024-06-13 07:00,,0,7.5,18,0,120.348742,23.757547,38
斗六,雲林縣,20,,良好,1.1,0.19,10,15.0,23,6,7.2,10.3,3,1.7,252,2024-06-13 07:00,,0.1,5.7,20,1,120.544994,23.711853,37
南投,南投縣,18,,良好,0.2,0.16,3.9,4.8,20,4,3.5,6.4,2.9,0.4,214,2024-06-13 07:00,,0.1,3.7,18,0,120.685306,23.913,36
二林,彰化縣,33,,良好,0.8,0.1,18.6,17.9,17,10,2.7,3.3,0.5,3.4,208,2024-06-13 07:00,,0.1,10.3,20,1,120.409653,23.925175,35
線西,彰化縣,23,,良好,0.6,0.16,9.9,12.0,19,6,7.6,8.4,0.8,4.5,226,2024-06-13 07:00,,0.1,7,21,0,120.469061,24.131672,34
彰化,彰化縣,22,,良好,0.9,0.15,12.7,13.4,24,4,5.8,6.5,0.7,2.7,220,2024-06-13 07:00,,0.1,5.2,22,0,120.541519,24.066,33
西屯,臺中市,22,,良好,3.1,0.19,3.4,9.8,26,6,9.6,15.6,6,1.4,186,2024-06-13 07:00,,0.1,6.9,20,1,120.616917,24.162197,32
忠明,臺中市,19,,良好,0.2,0.19,5.1,13.6,25,6,5.9,8.2,2.3,1.9,197,2024-06-13 07:00,,0.1,5.8,15,0,120.641092,24.151958,31
大里,臺中市,19,,良好,1,0.23,3.8,14.0,28,6,6.7,10.7,3.9,1.5,246,2024-06-13 07:00,,0.1,6,15,0,120.67844444,24.09961111,30
沙鹿,臺中市,23,,良好,1.4,0.18,15.4,17.4,13,6,6.3,7.6,1.3,3,179,2024-06-13 07:00,,0.1,7,16,0,120.568794,24.225628,29
豐原,臺中市,21,,良好,1.2,0.14,21.2,23.8,16,6,2.4,4,1.6,3.4,185,2024-06-13 07:00,,0.1,3.8,14,0,120.74252414,24.25699731,28
三義,苗栗縣,21,,良好,0.9,0.1,22.7,23.6,12,4,0,0.9,0.9,4.3,191,2024-06-13 07:00,,0,5.2,13,0,120.75956754,24.38248443,27
苗栗,苗栗縣,25,,良好,1.1,0.08,22.7,23.2,11,10,2.1,2.3,0.2,4.3,218,2024-06-13 07:00,,0,7.8,10,1,120.82011468,24.56499183,26
頭份,苗栗縣,23,,良好,1.9,0.13,22.2,23.2,18,5,2.1,3.4,1.3,3.6,229,2024-06-13 07:00,,0.1,7.1,15,1,120.89869286,24.69690679,25
新竹,新竹市,20,,良好,0.7,0.13,20.5,22.0,12,4,4.9,6,1.1,4.2,236,2024-06-13 07:00,,0.1,4.4,10,,120.97236752,24.8056356,24
竹東,新竹縣,18,,良好,1.3,0.17,6.5,12.4,16,4,5,6.7,1.7,2,138,2024-06-13 07:00,,0.1,5.5,12,0,121.08895493,24.74091408,23
湖口,新竹縣,28,,良好,0.5,0.12,20.9,21.8,15,11,4.2,3.9,0,4.7,230,2024-06-13 07:00,,0.1,8.6,13,0,121.03886894,24.90009696,22
龍潭,桃園市,17,,良好,1.2,0.15,14.4,18.8,14,6,8.2,9.7,1.4,3.1,194,2024-06-13 07:00,,0.1,4.5,11,0,121.21645772,24.86400048,21
